TIME,temp
3:29:46.76,41.55
3:30:47.00,42.21
3:31:46.69,41.3
3:32:46.71,41.07
3:33:47.19,41.24
3:34:46.86,42.15
3:35:46.77,42.57
3:36:46.88,42.38
3:37:46.87,42.19
3:38:50.17,42.63
3:39:48.98,42.14
3:40:46.83,41.85
3:41:49.66,42.59
3:43:50.14,40.88
3:44:46.89,41.6
3:45:47.26,41.1
3:46:48.23,42.1
3:47:47.15,42.09
3:48:47.37,42.01
3:49:47.96,42.37
3:50:48.38,42.77
3:51:48.34,42.54
3:52:47.66,42.49
3:53:51.87,42.55
3:54:47.23,42.44
3:55:49.55,42.38
3:56:47.54,42.02
3:57:47.44,42.05
3:58:47.61,41.99
3:59:47.12,41.97
4:00:47.61,42.1
4:01:49.62,42.05
4:02:47.16,42.18
4:03:47.52,42.2
4:04:50.03,42.27
4:05:49.53,42.26
4:06:47.42,42.14
4:07:47.30,42.34
4:08:49.04,42.47
4:09:48.43,42.6
4:10:49.12,41.76
4:11:49.72,42.38
4:12:47.34,42.2
4:13:50.38,42.15
4:14:47.34,41.45
4:15:47.89,41.77
4:16:48.71,42.11
4:17:48.51,42.04
4:18:47.90,41.89
4:19:49.59,42.09
4:20:47.60,42.55
4:21:49.32,42.33
4:22:48.92,42.49
4:23:48.91,42.43
4:24:47.51,42.31
4:25:47.52,42.46
4:26:47.61,42.69
4:27:50.50,42.63
4:28:47.54,41.78
4:29:48.06,42.05
4:30:47.61,41.3
4:31:50.71,41.4
4:32:48.80,41.89
4:34:47.78,42.17
4:35:47.82,42.13
4:36:47.66,42.07
4:37:47.71,40.77
4:38:48.60,41.83
4:39:47.76,42.24
4:40:47.73,42.41
4:41:47.77,42.36
4:42:47.90,41.52
4:43:48.37,40.74
4:45:48.48,42.15
4:46:50.66,41.94
4:47:49.27,42.41
4:48:49.14,41.62
4:49:48.44,42.28
4:50:48.56,41.61
4:51:49.16,42.12
4:52:48.58,42.3
4:53:48.94,42.13
4:54:48.56,42.24
4:56:48.36,42.44
4:57:48.56,42.46
4:58:48.73,41.37
4:59:52.08,41.28
5:00:48.35,41.85
5:01:51.53,41.81
5:02:52.72,41.56
5:03:48.07,41.82
5:04:49.25,41.85
5:05:49.42,40.72
5:06:48.21,41.31
5:07:48.25,41.29
5:08:49.43,40.95
5:09:49.44,41.39
5:11:48.74,42.13
5:12:49.63,42.27
5:13:49.44,42.23
5:14:51.92,42.04
5:15:50.10,42.38
5:16:48.29,42.44
5:17:48.53,42.41
5:18:48.72,42.44
5:19:48.43,42.32
5:20:48.45,42.43
5:21:48.41,42.33
5:22:48.82,42.3
5:23:48.60,42.48
5:25:48.82,42.49
5:29:52.90,41.9
5:30:53.20,42.48
5:31:51.31,42.55
5:32:48.88,42.5
5:33:48.81,42.58
5:34:48.56,41.96
5:35:51.89,42.36
5:36:48.69,42.25
5:37:50.42,42.28
5:38:48.60,42.25
5:42:06.70,42.05
5:43:05.49,42.32
5:44:05.49,42.56
5:45:07.06,42.41
5:46:08.19,42.54
5:47:06.68,42.42
5:48:09.19,42.45
5:49:05.69,42.38
5:50:05.57,42.23
5:51:09.89,42.16
5:52:08.96,42.44
5:53:05.62,42.1
5:54:08.38,42.16
5:55:06.28,42.17
5:56:07.57,42.07
5:57:08.25,42.24
5:58:07.79,42.32
5:59:07.48,42.4
6:00:05.95,42.23
6:01:06.28,42.23
6:02:09.06,42.36
6:03:08.74,42.38
6:04:07.56,42.25
6:05:06.74,42.26
6:07:07.75,42.31
6:08:10.16,42.42
6:09:09.66,42.32
6:10:08.55,42.17
6:12:05.91,41.91
6:13:09.65,42.29
6:14:09.72,42.34
6:15:05.95,42.18
6:16:06.46,42.44
6:17:06.43,42.29
6:18:09.42,42.22
6:19:06.02,42.13
6:20:06.93,42.09
6:21:06.04,42.23
6:22:06.53,42.49
6:23:07.34,42.53
6:24:06.10,42.43
6:25:06.13,41.93
6:27:08.93,42.03
6:28:09.23,42.01
6:29:07.83,41.93
6:30:07.34,42.05
6:31:06.73,42.15
6:32:06.25,42.17
6:33:06.31,42.08
6:34:06.61,42.08
6:35:08.30,42.21
6:36:06.26,42.23
6:37:08.34,42.27
6:38:08.49,42.25
6:39:07.72,42.29
6:40:06.35,42.4
6:41:07.41,42.41
6:42:06.35,42.54
6:43:06.38,42.47
6:44:06.59,42.31
6:45:07.00,42.4
6:46:09.72,42.3
6:47:06.88,42.34
6:48:08.07,42.31
6:49:06.50,42.24
6:50:06.58,42.35
6:51:10.50,42.35
6:52:06.57,42.44
6:53:06.57,42.47
6:54:10.67,42.48
6:56:06.56,42.32
6:57:06.86,42.31
6:58:07.25,42.47
6:59:10.99,42.07
7:00:08.70,42.12
7:01:06.79,42.22
7:02:08.65,42.18
7:03:07.48,42.35
